title,text,category
moeldoko harap seni budaya bisa jadi magnet kunjungan turis dan investor," Kepala Staf Kepresidenan RI Jenderal TNI (Purn) Dr Moeldoko menghadiri pementasa ,berjudul “Langit 7 Bidadari” di Gedung Teater Garuda, Taman Mini Indonesia Indah, Jakarta, bertepatan dengan peringatan hari lahirnya Pancasila, 1 Juni 2018. Dalam kesempatan tersebut, Moeldoko mengingatkan seluruh generasi bangsa betapa kayanya budaya yang dimiliki oleh Indonesia.,Lebih lanjut, kekayaan budaya ini menurut Moeldoko, dapat menjadi instrumen untuk menarik minat wisatawan maupun investor dari luar negeri untuk mengunjungi ataupun mengembangkan bisnisnya di Indonesia.,Baca Juga,“Datanglah! Saya jamin para wisatawan akan aman dan nyaman menikmati Indonesia. Para investor akan aman berinvestasi di Indonesia,"" ungkap Moeldoko.,Dalam berbagai kesempatan bertemu dengan banyak tokoh dan banyak pihak, Moeldoko selalu menegaskan bahwa keamanan dalam negeri Indonesia sangat baik, sekalipun ada segelintir oknum yang ingin merusaknya. Ia menekankan bahwa aparat keamanan sangat sigap dan bertindak cepat untuk mengatasi aksi-aksi kekerasan dan teror. Dirinya menjamin bahwa Pemerintah melakukan upaya maksimal untuk melindungi setiap warganya, termasuk meningkatkan kesejahteraan ekonomi masyarakat melalui investasi di segenap penjuru negeri., ,Di bidang pariwisata, Indonesia juga menunjukkan peningkatan kunjungan yang sangat besar dibandingkan negara-negara lainnya di Asia Tenggara. Selain memiliki kekayaan dan keindahan alam yang luar biasa, kesenian dan kebudayaan yang berakar secara kuat di tengah masyarakat juga menjadi magnet dari wisatawan di seluruh dunia untuk mengunjungi Indonesia. Pariwisata, juga telah menggerakkan ekonomi secara cepat dan mendorong titik-titik ekonomi baru di hampir seluruh penjuru negeri.,Pertunjukan kesenian teater mengemban misi untuk lebih menghargai dan peduli pada budaya negeri sendiri serta kekayaan alam Indonesia. Kekayaan alam dan budaya adalah warisan yang harus selalu dijaga dan dilestarikan. Selain itu, pagelaran seni ini bertujuan memberikan pendidikan kepada masyarakat melalui pertunjukan kesenian dan membangkitkan kecintaan kembali kepada budaya bangsa dan menggelorakan semangat kebangsaan., ,pink beach,Pertunjukan yang disutradarai oleh Harry de Fretes tersebut mengambil cerita berlatar belakang kisah klasik pewayangan Jaka Tarub. Tokoh sentral Jaka Tarub diperankan oleh Samuel Rizal, sedangkan aktris senior Jajang C Noer didapuk sebagai ibunda Jaka Tarub. Sementara tujuh bidadari diperankan oleh artis-artis lintas generasi mulai dari Indi Barends, Ariel Tatum, Kezia Warouw, Sarwendah Tan, Ersa Mayori, Ririn Ekawati, dan Sophia Latjuba.,Produser pagelaran teater Sari mengatakan bahwa pagelaran tersebut dimaksudkan untuk membangkitkan kembali kecintaan masyarakat terhadap budaya bangsa. Melalui pagelaran ini, para pendukung pertunjukan ingin memberikan pesan kepada seluruh masyarakat Indonesia, supaya seni dan budaya dibangkitkan kembali. “Kita ingin sama-sama tidak ada lagi pertikaian. Kita ingin damai,” ujarnya.,Copyright © 2018 , KLY KapanLagi Youniverse All Rights Reserved",Culture
seniman palestina sulap tembakan israel jadi karya seni mengagumkan," Berbeda dari seniman pada umumnya, seorang seniman ,, Majdy Abu Tagiyya, menciptakan karya seni dari selongsong peluru dan mortir yang ditembakan tentara Israel ke Jalur Gaza.,Seperti yang dikutip dari laman ,, Selasa (5/6/2018), Majdy mengatakan, dirinya hanya ingin mengirim pesan damai kepada semua orang di duniam melalui karya seni yang dihasilkannya.,Baca Juga,“Orang-orang Gaza bukanlah teroris, mereka sama seperti Anda orang yang juga mencintai kedamaian,” ungkap Majdy., ,Sang seniman , itu mengumpulkan bahan-bahan sisa peluru yang ditembakan ke demonstran di tempat bekas konflik, selain juga didapatnya dari dokter. Bahkan tak hanya peluru, dirinya juga memanfaatkan barang-barang rumah tangga yang menjadi sasaran mortir Israel, seperti kompor gas portabel hingga panci.,Karya-karya Majdy kerap bernada protes terhadap tindakan tentara Israel. Dirinya pernah ‘menyentil’ tentara Israel dengan membuat patung sebagai bentuk empati atas terbunuhnya seorang jurnalis saat sedang meliput konflik di Gaza.,Karya seni tersebut menampilkan jaket anti-peluru dengan tulisan putih di atasnya menyerupai kata “PERS”., ,“Melalui karya seni yang saya buat, Anda dapat melihat tingkat kesengsaraan yang diderita oleh orang-orang Gaza. Kami adalah manusia. Kami ingin memberitahu orang lain bahwa kami juga manusia, kami saudara-saudaramu dalam kemanusiaan. Ini adalah pesan saya kepada dunia, kami juga orang-orang yang ingin hidup,” ungkap Majdy.,Tinggal di kamp pengungsi Nuseirat di Jalur Gaza, membuat sang seniman perlu berjuang untuk bertahan hidup dan mencari nafkah dari karya-karya seni yang dihasilkannya., ,Perawat Palestina Razan al-Najar, 21, yang tewas ditembak tentara Israel, Jumat (1/6) lalu dimakamkan.,Copyright © 2018 , KLY KapanLagi Youniverse All Rights Reserved",Culture
sontek cara 56 kreator berpengaruh di dunia ciptakan kreativitas," , menjadi modal utama yang harus dimiliki tiap orang untuk terus berkembang dalam bidang yang digeluti. Lantas bagaimana jika kita kehabisan kreativitas? 56 kreator paling berpengaruh di dunia dari bidang olahraga serta industri kreatif dalam bidang olahraga memberi jawabannya.,pun menyatukan 56 kreator dalam sebuah kampanye berjudul ,. Bertujuan untuk menginspirasi kreator dari berbagai cabang dan budaya olahraga untuk menjadi berani, tidak terprediksi, dan mimpi mereka sendiri.,Baca Juga,Lewat sebuah film, penonton akan dibawa lewat pintu belakang menuju panggung untuk menyaksikan pertunjukan yang berbeda dari yang lain. Para kreator dari berbagai cabang olahraga muncul dan bersiap-siap menunjukkan kreativitas unik mereka.,Jose Mourinho mengarahkan dari belakang panggung membawa Luis Suarez, Von Miller, Gabriel Jesus, Karlie Kloss dan lainnya ke atas panggung.,Saat pertunjukan mulai, host A$AP Ferg mengucapkan kata-kata yang membawa penonton tenggelam dalam pertunjukan kreativitas. Ikon sepakbola Paul Pogba yang dikelilingi para atlet yang terinspirasi dari gerak-geriknya memberikan sentuhan kreativitas dengan tidak ada pengulangan dalam permainannya. Alhasil terciptalah sebuah kreativitas baru gaya freestyle yang terkenal.,Leo Messi yang juga terlibat dalam kampanye Creativity is the Answer juga memasukkan kreativitas dalam setiap permainannya. ""Di lapangan, momen kreativitas bisa mengubah suatu permainan. Kamu bisa melihat hal-hal yang tidak dilihat orang lain dan mengambil kesempatan yang tidak diambil orang lain. Kreativitas memisahkan para pemain ini,"" ujar Leo Messi.,Bintang sepakbola yang sudah pensiun David Beckham juga berbagi soal pendapatnya tentang kreativitas dalam film tersebut. ""Momen-momen yang paling saya banggakan, baik di luar atau dalam lapangan adalah saat teknik, kerja keras, dan kreativitas bergabung menjadi satu. Ini adalah tentang kerja keras dan sedikit faktor keberuntungan,"" imbuh Beckham.,Di penghujung film, Leo Messi sang legenda, menginspirasi penonton untuk membuang naskah yang ada dan membuat aturan mereka sendiri. Film ini diakhiri dengan Pharrell memberikan mic ke penonton, sebuah panggilan bagi kita semua untuk menciptakan jawabannya.,Sebuah call to action dari adidas bagi konsumen di seluruh dunia. Mengundang para atlet, musisi, artis, dan pembuat film di kota-kota global – London, Los Angeles, Tokyo, Paris, Shanghai, New Yorkdan tuan rumah Moscow serta tidak luput Indonesia – untuk menciptakan dan membentuk narasi brand untuk sisa kampanye yang berjalan selama event World Cup.,Gambar-gambar, momen, dan konten yang diciptakan oleh adidas dan para penciptanya akan membentuk sebuah kampanye opensourced yang pertama kali hadir dan menjadi denyut nyata dari acara olahraga terbesar di dunia.,Pharrell Williams merangkum, “Untuk saya, kreatifitas adalah menyerap pengalaman-pengalaman yangunik untuk kamu sebagai individu dan bagaimana kamu menyalurkannya. Kreatifitas dapat mengubahsegalanya.”,Copyright © 2018 , KLY KapanLagi Youniverse All Rights Reserved",Culture
intip pertunjukan fashion dalam balutan seni teater?HouseAds&campaign=Fashion_Lifestyle_STM," Dari Sabang sampai Merauke, Indonesia menawarkan keindahan alam yang memukau dan dapat memberikan inspirasi. Perjalanan singkat kelompok seni Kalanari Theatre Movement ke pulai Morotai, menginspirasi mereka untuk membuat karya seni pertunjukan , yang unik. Bertajuk Moro: A Fashion Story, kelompok seni yang berasal dari Yogyakarta ini menampilkan kolaborasi tari, musik, visual dan fashion dalam satu panggung , di Galeri Indonesia Kaya, Minggu (1/4/2018).,Baca Juga,“Adanya kolaborasi antara seni tari, musik, visual, dan fashion sebagai elemen artistik utama, Kalanari Theatre Movement menampilkan kesegaran dalam panggung seni pertunjukan. Mengajak penikmat seni untuk turut berimajinasi dalam sebuah kolaborasi karya seni,” kata Renitasari Adrian Program Director Bakti Budaya Djarum Foundation pada rilis yang diterima Liputan6.com, Selasa (3/4/2018).,Pementasan , berdurasi kurang lebih 60 menit ini, berawal dari perjalanan Kalanari Theatre Movement ke pulau Morotai dan mencatat sebuah filosofi menawan, yaitu Morodina, Morodaku, Morodahu, dan Morodaki. Filosofi tersebut secara ringkas menceritakan bahwa leluhur suku Moro hidup dan berasal dari laut, langit, hutan, dan permukaan tanah., , ,Kecintaannya pada dunia anak membuat Maria Sulistyani sukses melanglangbuana lewat teater boneka bernama Papermoon Puppet Theatre.,Dibalut dalam satu cerita yang mengisahkan seorang nenek bernama Tun yang pernah hilang dan kembali. Dipercaya bahwa Tun melakukan perjalanan antara dunia manusia dengan dunia lain yang tak kasat mata. Keempat unsur utama tadi, dirangkai sebagai teks yang dibalut dengan tari, musik, dan fashion.,Kalanari Theatre Movement membingkai warna, nuansa, model, serta gaya fashion dalam sebuah pertunjukan teater yang apik. Pada pertunjukan ini, penikmat seni akan dibawa pada pertunjukan yang unik yaitu pergelaran fashion yang bercerita.,“Bagi kami, teater merupakan pintu masuk sekaligus pintu keluar untuk mempelajari, mengiterpretasi, mengeksplorasi lalu merepresentasikan kebudayaan suatu masyarakat. Tak hanya sebagai pencipta pertunjukan, teater memiliki visi dan misi yang luhur dalam mengembangkan kebudayaan masyarakat dengan mengedepankan nilai-nilai utama kemanusiaan. Hari ini, kami ingin mengajak penonton yang hadir untuk terlibat dalam pertunjukan yang tidak biasa namun tentunya masih dapat dipahami dan menjadi suatu pertunjukan yang menghibur,” kata Gandez Sholekah pimpinan produksi Kalanari Theatre Movement.,Dalam proses pelaksanaannya, kelompok seni ini didampingi oleh para mentor berpengalaman seperti, Garin Nugroho, Iswadi Pratama, Rama Soeprapto, Subarkah Hadisarjana, dan Nano Riantiarno.,Copyright © 2018 , KLY KapanLagi Youniverse All Rights Reserved",Culture
kenang benyamin sueb teater abnon gelar pementasan," Benyamin Suaeb bukan hanya sekadar nama. Sosok seniman asli Betawi tersebut merupakan legenda di dunia perfilman dan seni tarik suara Indonesia. Karya-karyanya tak lekang oleh zaman dan masih bisa kita nikmati sampai sekarang. Misalnya lagu , dan ,.,Sebagai persembahan dan wujud apresiasi kepada sosok ,, Teater Abang None (Abnon) Jakarta didukung oleh Bakti Budaya Djarum Fondation menggelar sebuah konser teatrikal berjudul ""Babe, Muka Kampung Rejeki Kota"" yang mengangkat kisah perjalanan hidup Benyamin Sueb.,Konser yang diproduseri oleh Maudy Koesnaedi dan disutradarai oleh Agus Noor ini akan diselenggarakan selama dua hari pada 15 dan 16 September 201, bertempat di Graha Bhakti Budaya, Taman Ismail Marzuki, Jakarta.,“Dikenal sebagai sosok yang kocak, lewat karyanya baik musik, film, dan panggung pertunjukan, Benyamin adalah salah satu tokoh yang berjasa mengangkat gambang kromong lebih dikenal dan didengar hingga saat ini,” jelas Maudy.,Karena alasan tersebut, Teater Abnon memilih konsep teatrikal dengan mengaransemen lagu-lagu yang pernah dipopulerkan oleh ,menggunakan orkestra berkolaborasi dengan gambang kromong. ,Lebih dari 30 lagu yang pernah populer mengiringi perjalanan karier seniman legendaris tersebut diaransemen ulang oleh Ifa Fachir sebagai penata musik dan akan dibawakan dalam konser tersebut. Konser ini juga dimeriahkan oleh Indra Bekti, Tommy Tjokro, Astry Ovie, dan Abang-None Jakarta lainnya.,Baca Juga,Renitasari Adrian, Program Director Bakti Budaya Djarum Foundation mengatakan, keterlibatan Teater Abang None dalam mementaskan konser teatrikal untuk Benyamin Sueb merupakan bentuk kontribusi positif dalam melestarikan, mengembangkan serta meningkatkan rasa cinta terhadap warisan budaya bangsa.,“Melalui pertunjukan ini, kami berharap bahwa kami dapat menyampaikan semangat kegembiraan dan sifat positif Benyamin sebagai tokoh yang akan selalu kita kenang,” pungkas Maudy.,Copyright © 2018 , KLY KapanLagi Youniverse All Rights Reserved",Culture
pegiat teater jepang dan indonesia bersatu pentaskan dionysus," Suzuki Company of Toga (SCOT) dan Bumi Purnati Indonesia, perusahaan yang berorientasi pada pengembangan seni budaya Indonesia di dunia internasional, akan menggelar pementasan,, sebuah tragedi dalam mitologi Yunani. Yang menarik, pementasan teater ini digarap oleh sutradara Jepang dengan aktor-aktor dari Indonesia. Tak hanya itu, selain menggunakan bahasa nasional, pementasan ini juga diperkaya dengan dialog berbahasa Batak, Rejang, Madura, Manado, Sunda, dan Jawa.,Menurut informasi yang diterima ,, Sabtu 923/9/2017), produksi ini rencananya akan dipentaskan pertama kali pada musim panas tahun depan (antara Agustus dan September 2018) di Toga Art Park of Toyama Prefeture Jepang. Sementara pementasan di Indonesia akan digelar di sekitar Oktober 2018.,Gagasan untuk menggabungkan dua ranah, dengan tradisi yang berbeda ini muncul pertama kali pada 2015, saat Mr Suzuki yang juga seniman teater asal Jepang dan Asia Center Japan Foundation meminta Restu Imansari, pendiri The Bali Purnati Center of Arts, untuk membuat pertunjukan kolaborasi. Hasilnya, pementasan di Toga Jepang pada September 2015 mendapat sambutan sangat baik dari para penonton di Jepang. ,Kemudian, Restu dan Suzuki sepakat untuk berkolaborasi mementaskan ,, sebuah tragedi Yunani kuno yang ditulis oleh dramawan besar Athena Euripides.,Baca Juga,Audisi pun dibuka untuk menjaring aktor-aktor teater terbaik di tanah air. Digelar awal Juni 2016, proses audisi disambut meriah oleh para kelompok dan pegiat teater di Indonesia. ,Dari 43 aktor yang ikut seleksi, 16 orang terpilih mengikuti latihan Metode Suzuki di desa Toga, Toyama Prefektur, Jepang pada 31 Agustus - 14 September 2016. Dari 16 aktor ini, akhirnya terpilih 13 orang untuk ikut pementasan dan menjalani latihan secaraintens di Jakarta, sebelum kembali ke Jepang untuk berlatih di bawah arahan langsung Tadashi Suzuki pada 19 April-7 Mei 2017. ,Komposer Jepang, Midori Takada, sebagai penata bunyi dalam karya , melakukan penciptaan ulang tata musiknya dengan memasukan unsur musik tradisi dari berbagai wilayah di Indonesia ke dalam musik asli Dionysus. ,Kostum , yang dirancang oleh Tadashi Suzuki, akan ditambahkan dengan beberapa kostum baru buatan perancang Indonesia Auguste Soesastro yang menggunakan berbagai kain unik Indonesia., Kegiatan selanjutnya adalah latihan selama tiga pekan di Yayasan Bali Purnati selama bulan Oktober 2017, untuk pentas selanjutnya.,Copyright © 2018 , KLY KapanLagi Youniverse All Rights Reserved",Culture
teater poda refleksi kehidupan dalam pertunjukan menyayat hati," , menjadi sebuah media yang mampu memberikan pesan sekaligus hiburan menarik bagi para penontonnya. Hal ini juga disadari betul oleh para pemuda pemudi dari HKBP Kebayoran Baru, yang merayakan Hari Kebangkitan Pemuda Harheheon 2017. Mereka menyajikan sebuah pertunjukan teatrikal, musik, dan tari dalam “Teater Poda”, pada Sabtu, (2/9/2017).,Naposo HKBP Kebayoran baru sendiri merupakan kelompok pemuda gereja, yang mencoba menghadirkan budaya Batak pada generasi muda. Beranggotakan 10 pemain utama dan berbagai pemain pendukung, mereka menghadirkan sebuah cerita , yang dekat dengan kehidupan sehari-hari yaitu cinta dengan orang tua.,Baca Juga,Pemeran utama dalam Teater Poda ini sendiri adalah Teresa Gerda, yang merupakan model profesional dan penyanyi muda berbakat. Echa, panggilan akrabnya, memerankan sosok Cindy yang tidak menyukai ibunya karena berlumur narkoba dan dosa masa lalu. Sedangkan lawan mainnya dalam , ini, Markus sang pembangkang, merupakan anak yang sangat disayang oleh Ayahnya.,Latihan intensif dari bulan April 2017, ternyata memberikan hasil yang manis. Terbukti dari para penonton yang memenuhi Hall Usmar Ismail, terkesan dengan pertunjukan para pemuda ini. Bahkan orang tua Echa sendiri, berhasil tersihir dan berlinang air mata saat pertunjukan teater berlangsung. ,Kisah yang diadopsi dari The Prodigal Son dalam Alkitab ini, mencoba menyampaikan pesan kepada anak muda. Terutama mengenai rasa cinta dan hormat terhadap orang tua, yang menjadi cinta paling dasar dalam kehidupan manusia. Pertunjukan ini semakin lengkap dengan berbagai gubahan lagu yang diproduksi sendiri, dengan balutan kontemporer Batak.,Copyright © 2018 , KLY KapanLagi Youniverse All Rights Reserved",Culture
intip pertunjukan fashion dalam balutan seni teater," Dari Sabang sampai Merauke, Indonesia menawarkan keindahan alam yang memukau dan dapat memberikan inspirasi. Perjalanan singkat kelompok seni Kalanari Theatre Movement ke pulai Morotai, menginspirasi mereka untuk membuat karya seni pertunjukan , yang unik. Bertajuk Moro: A Fashion Story, kelompok seni yang berasal dari Yogyakarta ini menampilkan kolaborasi tari, musik, visual dan fashion dalam satu panggung , di Galeri Indonesia Kaya, Minggu (1/4/2018).,Baca Juga,“Adanya kolaborasi antara seni tari, musik, visual, dan fashion sebagai elemen artistik utama, Kalanari Theatre Movement menampilkan kesegaran dalam panggung seni pertunjukan. Mengajak penikmat seni untuk turut berimajinasi dalam sebuah kolaborasi karya seni,” kata Renitasari Adrian Program Director Bakti Budaya Djarum Foundation pada rilis yang diterima Liputan6.com, Selasa (3/4/2018).,Pementasan , berdurasi kurang lebih 60 menit ini, berawal dari perjalanan Kalanari Theatre Movement ke pulau Morotai dan mencatat sebuah filosofi menawan, yaitu Morodina, Morodaku, Morodahu, dan Morodaki. Filosofi tersebut secara ringkas menceritakan bahwa leluhur suku Moro hidup dan berasal dari laut, langit, hutan, dan permukaan tanah., , ,Kecintaannya pada dunia anak membuat Maria Sulistyani sukses melanglangbuana lewat teater boneka bernama Papermoon Puppet Theatre.,Dibalut dalam satu cerita yang mengisahkan seorang nenek bernama Tun yang pernah hilang dan kembali. Dipercaya bahwa Tun melakukan perjalanan antara dunia manusia dengan dunia lain yang tak kasat mata. Keempat unsur utama tadi, dirangkai sebagai teks yang dibalut dengan tari, musik, dan fashion.,Kalanari Theatre Movement membingkai warna, nuansa, model, serta gaya fashion dalam sebuah pertunjukan teater yang apik. Pada pertunjukan ini, penikmat seni akan dibawa pada pertunjukan yang unik yaitu pergelaran fashion yang bercerita.,“Bagi kami, teater merupakan pintu masuk sekaligus pintu keluar untuk mempelajari, mengiterpretasi, mengeksplorasi lalu merepresentasikan kebudayaan suatu masyarakat. Tak hanya sebagai pencipta pertunjukan, teater memiliki visi dan misi yang luhur dalam mengembangkan kebudayaan masyarakat dengan mengedepankan nilai-nilai utama kemanusiaan. Hari ini, kami ingin mengajak penonton yang hadir untuk terlibat dalam pertunjukan yang tidak biasa namun tentunya masih dapat dipahami dan menjadi suatu pertunjukan yang menghibur,” kata Gandez Sholekah pimpinan produksi Kalanari Theatre Movement.,Dalam proses pelaksanaannya, kelompok seni ini didampingi oleh para mentor berpengalaman seperti, Garin Nugroho, Iswadi Pratama, Rama Soeprapto, Subarkah Hadisarjana, dan Nano Riantiarno.,Copyright © 2018 , KLY KapanLagi Youniverse All Rights Reserved",Culture
lestarikan kebudayaan tionghoa koko cici jakarta gelar festival," Dalam rangka memperingati Hari Raya Kue Bulan atau Mooncake yang jatuh pada 4 Oktober 2017 lalu, Koko Cici Jakarta mengadakan , Festival bertajuk “Pesona Sang Bulan, Terangi Jakarta” di Main Atrium, Pluit Village Mall, Sabtu, (07/1/2017). Dalam acara tersebut, Koko Cici Jakarta yang juga sebagai Duta Budaya Tionghoa turut melestarikan sejarah, bulan melalui pameran galeri foto.,Pameran yang telah dimulai sejak 2 Oktober hingga 8 Oktober 2017 ini menceritakan cuplikan skenario awal mula terciptanya kue bulan beserta maknanya. Ketua Pelaksana Acara, Koko Eric Sebastian mengatakan, “Tahun ini kami membuat , Exhibition dengan menampilkan sejarah,bulan yang dikemas dalam bentuk foto bercerita.Konsep ini dipilih karena dengan memahami sejarah kue bulan maka perayaan pun akan lebih bermakna."",Baca Juga,Koko Jakarta 2017, Koko Steven Tjhin menambahkan “Kue bulan memiliki bentuk bulat utuh yang memiliki makna kebersamaan dan perayaan ini dijadikan momentum untuk berkumpul dan berbagi kebahagiaan bersama keluarga sembari menyantap kue bulan.” Acara dibuka dengan penampilan Tari Kipas dan dilanjutkan peragaan busana dari Koko Cici Jakarta dengan mengenakan koleksi terbaru dari designer Victor Dinata. Busana yangditampilkan merupakan wujud akulturasi antara kebudayaan Tionghoa dengan kebudayaan lokal dengan menghadirkan Kebaya Encim.,Untuk menambah kemeriahan acara, para pengunjung dan tamu undangan juga dihibur dengan permainan alat musik tradisional khas Tiongkok, Erhu yang tergabung dalam Koko Cici Orchestra, serta tarian Mars Koko Cici Jakarta.,Hari Raya , Bulan atau “Zhong Qiu Jie” merupakan salah satu dari beragam kebudayaan Tionghoa yang masih kental di Jakarta. Perayaan ini dilakukan setiap tanggal 15 bulan 8 menurut kalender Imlek dan pada hari itulah bulan dan bumi berada dalam jarak terdekat sehingga bulan tampak terlihat paling bulat dan bersinar paling terang. Di Indonesia sendiri, para masyarakat Tionghoa merayakannya degan menyantap kue bulan bersama.,Saksikan Video Menarik Beirkut Ini: ,beginilah indonesia sekarang(komunitas apapun bebas melakukan apapun),Copyright © 2018 , KLY KapanLagi Youniverse All Rights Reserved",Culture
permintaan pengusiran setan meningkat di italia ini penjelasannya," Pernahkah Anda menonton film The Exorcist yang bercerita tentang pengusiran ,? Fenomena exorcism atau pengusiran setan memang sebuah fakta sosial yang terjadi di masyarakat.,Tak sedikit orang di seluruh dunia yang percaya bahwa di dunia ini terdapat sosok-sosok supranatural jahat yang mengganggu kehidupan manusia. Mungkin termasuk Anda.,Baca Juga,Melansir halaman USA Today pada Jumat (8/3/2018), dalam beberapa waktu ke belakang, Italia mengalami peningkataan permintaan proses pengusiran setan. Menurut penuturan pendeta Friar Beningo Palilla kepada Vatican Radio, setiap tahunnya Italia memiliki 500 ribu kasus yang memerlukan praktik pengusiran,.,Ia menyalahkan banyaknya orang-orang yang menggunakan jasa peramal dan pembaca kartu tarot sebagai pemicu tingginya angka kasus ,. Menurutnya praktik-praktik seperti itu membuka pintu bagi , untuk merasuki seseorang.,Cara Joko Anwar Meracik Suasana Horor di Film Pengabdi Setan,Sebuah kiriman dibagikan oleh , (@theexorcistfox) pada ,Besarnya angka permintaan, menjadi isu tersendiri untuk otoritas umat Katolik di Vatikan. Rencananya Vatikan akan mengadakan konferensi internasional selama seminggu pada bulan April di Pontifical Athenaeum Regina Apostolorum untuk membahas hal tersebut.,Beberapa hal yang akan dibahas dalam konferensi tersebut adalah kemampuan yang tak merata di antara para , dan kekhawatiran mengenai pendeta-pendeta yang tak memiliki keinginan untuk mempelajari teknik exorcism., ,Sebuah kiriman dibagikan oleh , (@theexorcistfox) pada ,Empat tahun lalu, Vatikan memberikan dukungan pada International Association of Exorcists yang didirikan pada tahun 1990 dan telah memberikan lisensi pada 200 orang di seluruh dunia.,Pendeta Palilla menyerukan agar disediakannya peningkatan pelatihan exorcism. “Kami para pendeta sering kali tak tahu harus bertindak apa saat ada kasus konkret terjadi,” ucap pendeta Palilla.,Bio In God Bless,Copyright © 2018 , KLY KapanLagi Youniverse All Rights Reserved",Culture
